effect_id,label,branch_option,raw_call,inspiration_delta,corruption_delta,stern_acute_susp_delta,stern_base_susp_delta,vance_acute_susp_delta,vance_base_susp_delta,missy_acute_susp_delta,missy_base_susp_delta,gideon_acute_susp_delta,gideon_base_susp_delta,unmapped_fields,source_file,line_number,confidence
effect_0001,day100_1_afternoon_boredom,search_the_bureau_15_inspiration_10_corruption,"apply_effects(insp=15, corr=10)",15,10,,,,,,,,,,main-game/non-prod-game/game/days/day100_non_canon.rpy,90,medium
effect_0002,day100_1_afternoon_boredom,search_the_parlour_entrance_15_corruption,apply_effects(corr=15),,15,,,,,,,,,,main-game/non-prod-game/game/days/day100_non_canon.rpy,101,medium
effect_0003,day100_2_reconvergence,eager_posture,apply_effects(insp=5),5,,,,,,,,,,,main-game/non-prod-game/game/days/day100_non_canon.rpy,195,medium
effect_0004,day100_2_reconvergence,desperate_posture,apply_effects(corr=5),,5,,,,,,,,,,main-game/non-prod-game/game/days/day100_non_canon.rpy,206,medium
effect_0005,day100_2_reconvergence,5_inspiration,apply_effects(insp=5),5,,,,,,,,,,,main-game/non-prod-game/game/days/day100_non_canon.rpy,227,medium
effect_0006,day100_2_reconvergence,5_inspiration_5_corruption,"apply_effects(insp=5, corr=5)",5,5,,,,,,,,,,main-game/non-prod-game/game/days/day100_non_canon.rpy,236,medium
effect_0007,day100_2_reconvergence,10_corruption,apply_effects(corr=10),,10,,,,,,,,,,main-game/non-prod-game/game/days/day100_non_canon.rpy,245,medium
effect_0008,day101_1_morning_interview,option_1,"apply_effects(stern_susp=5, insp=5, corr=0)",5,0,5,,,,,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,172,medium
effect_0009,day101_1_morning_interview,option_2,"apply_effects(stern_susp=15, insp=10, corr=0)",10,0,15,,,,,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,192,medium
effect_0010,day101_1_morning_interview,option_1,"apply_effects(stern_susp=5, insp=0, corr=5)",0,5,5,,,,,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,227,medium
effect_0011,day101_1_morning_interview,option_2,"apply_effects(stern_susp=10, insp=5, corr=0)",5,0,10,,,,,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,244,medium
effect_0012,day101_1_morning_interview,option_3,"apply_effects(stern_susp=15, insp=10, corr=10)",10,10,15,,,,,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,262,medium
effect_0013,day101_1_morning_interview,option_1,"apply_effects(stern_susp=5, insp=5, corr=0)",5,0,5,,,,,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,295,medium
effect_0014,day101_1_morning_interview,option_2,"apply_effects(stern_susp=5, insp=10, corr=0)",10,0,5,,,,,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,307,medium
effect_0015,day101_1_morning_interview,option_3,"apply_effects(stern_susp=20, insp=15, corr=10)",15,10,20,,,,,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,319,medium
effect_0016,day101_1_vance_throws_toy,subservient_suspicion,"apply_effects(vance_susp=5, insp=5, corr=0)",5,0,,,5,,,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,406,medium
effect_0017,day101_1_vance_throws_toy,defiant_tension_inspiration_corruption,"apply_effects(vance_susp=15, insp=10, corr=5)",10,5,,,15,,,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,424,medium
effect_0018,day101_1_vance_throws_toy,ghostly_inspiration,"apply_effects(vance_susp=10, insp=10, corr=0)",10,0,,,10,,,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,445,medium
effect_0019,day101_1_vance_dressing_room,protected_suspicion,"apply_effects(vance_susp=5, insp=10, corr=5)",10,5,,,5,,,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,588,medium
effect_0020,day101_1_vance_dressing_room,intimate_tension_suspicion_corruption,"apply_effects(vance_susp=15, insp=10, corr=10)",10,10,,,15,,,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,609,medium
effect_0021,day101_1_vance_dressing_room,observed_inspiration,"apply_effects(vance_susp=5, insp=10, corr=0)",10,0,,,5,,,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,632,medium
effect_0022,day101_1_vance_stairwell_encounter,loyal_witness_suspicion,"apply_effects(vance_susp=5, insp=5, corr=0)",5,0,,,5,,,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,711,medium
effect_0023,day101_1_vance_stairwell_encounter,accomplice_tension_suspicion_corruption,"apply_effects(vance_susp=15, insp=10, corr=10)",10,10,,,15,,,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,725,medium
effect_0024,day101_1_vance_stairwell_encounter,silent_observer_inspiration,"apply_effects(vance_susp=5, insp=10, corr=0)",10,0,,,5,,,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,749,medium
effect_0025,day101_2_coras_path_choice,predator_path_inspiration_corruption,"apply_effects(insp=10, corr=5)",10,5,,,,,,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,895,medium
effect_0026,day101_2_coras_path_choice,prey_path_inspiration_suspicion,"apply_effects(vance_susp=35, insp=15, corr=5)",15,5,,,35,,,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,927,medium
effect_0027,day101_2_coras_path_choice,ghost_path_inspiration_suspicion,"apply_effects(stern_susp=-5, vance_susp=-5, missy_susp=-5, insp=10, corr=0)",10,0,-5,,-5,,-5,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,961,medium
effect_0028,day101_night_story_window,inspiration,"apply_effects(insp=15, corr=0)",15,0,,,,,,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,1094,medium
effect_0029,day101_night_story_window,corruption,"apply_effects(vance_susp=5, insp=5, corr=10)",5,10,,,5,,,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,1110,medium
effect_0030,day101_night_story_window,corruption,"apply_effects(insp=10, corr=0)",10,0,,,,,,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,1127,medium
effect_0031,day101_4_write_the_chapter,inspiration,"apply_effects(insp=15, corr=0)",15,0,,,,,,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,1164,medium
effect_0032,day101_4_write_the_chapter,corruption,"apply_effects(vance_susp=5, insp=5, corr=10)",5,10,,,5,,,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,1174,medium
