node_id,label,node_type,day,period,slot,source_file,line_number,has_dag_node_tag,has_menu,has_check_confrontations,has_end_slot,has_apply_effects,confidence
book1_block_day1_slop_core,book1_block_day1_slop_core,write,,,,main-game/non-prod-game/game/days/book1_day101_non_canon.rpy,16,True,False,False,False,False,high
book1_block_day1_default_core,book1_block_day1_default_core,write,,,,main-game/non-prod-game/game/days/book1_day101_non_canon.rpy,27,True,False,False,False,False,high
book1_block_day1_ghost_core,book1_block_day1_ghost_core,write,,,,main-game/non-prod-game/game/days/book1_day101_non_canon.rpy,34,True,False,False,False,False,high
book1_block_day1_predator_core,book1_block_day1_predator_core,write,,,,main-game/non-prod-game/game/days/book1_day101_non_canon.rpy,44,True,False,False,False,False,high
book1_block_day1_prey_core,book1_block_day1_prey_core,write,,,,main-game/non-prod-game/game/days/book1_day101_non_canon.rpy,54,True,False,False,False,False,high
book1_block_day1_common_open,book1_block_day1_common_open,write,,,,main-game/non-prod-game/game/days/book1_day101_non_canon.rpy,63,True,False,False,False,False,high
book1_block_day1_ghost_subservient,book1_block_day1_ghost_subservient,write,,,,main-game/non-prod-game/game/days/book1_day101_non_canon.rpy,72,True,False,False,False,False,high
book1_block_day1_predator_complicit,book1_block_day1_predator_complicit,write,,,,main-game/non-prod-game/game/days/book1_day101_non_canon.rpy,83,True,False,False,False,False,high
book1_block_day1_prey_resistant,book1_block_day1_prey_resistant,write,,,,main-game/non-prod-game/game/days/book1_day101_non_canon.rpy,94,True,False,False,False,False,high
book1_block_day2_ghost_core,book1_block_day2_ghost_core,write,,,,main-game/non-prod-game/game/days/book1_day102_non_canon.rpy,16,True,False,False,False,False,high
book1_block_day2_predator_core,book1_block_day2_predator_core,write,,,,main-game/non-prod-game/game/days/book1_day102_non_canon.rpy,37,True,False,False,False,False,high
book1_block_day2_prey_core,book1_block_day2_prey_core,write,,,,main-game/non-prod-game/game/days/book1_day102_non_canon.rpy,58,True,False,False,False,False,high
book1_block_day2_default_core,book1_block_day2_default_core,write,,,,main-game/non-prod-game/game/days/book1_day102_non_canon.rpy,77,True,False,False,False,False,high
book1_block_day2_missy_debt_or_repair,book1_block_day2_missy_debt_or_repair,write,,,,main-game/non-prod-game/game/days/book1_day102_non_canon.rpy,91,True,False,False,False,False,high
book1_block_day2_stern_suspicion_or_diffuse,book1_block_day2_stern_suspicion_or_diffuse,write,,,,main-game/non-prod-game/game/days/book1_day102_non_canon.rpy,103,True,False,False,False,False,high
book1_block_day2_contraband_state,book1_block_day2_contraband_state,write,,,,main-game/non-prod-game/game/days/book1_day102_non_canon.rpy,116,True,False,False,False,False,high
book1_block_day2_stern_pressure_if_needed,book1_block_day2_stern_pressure_if_needed,write,,,,main-game/non-prod-game/game/days/book1_day102_non_canon.rpy,127,True,False,False,False,False,high
book1_block_day3_default_core,book1_block_day3_default_core,write,,,,main-game/non-prod-game/game/days/book1_day103_non_canon.rpy,16,True,False,False,False,False,high
book1_block_day3_ghost_core,book1_block_day3_ghost_core,write,,,,main-game/non-prod-game/game/days/book1_day103_non_canon.rpy,27,True,False,False,False,False,high
book1_block_day3_predator_core,book1_block_day3_predator_core,write,,,,main-game/non-prod-game/game/days/book1_day103_non_canon.rpy,41,True,False,False,False,False,high
book1_block_day3_prey_core,book1_block_day3_prey_core,write,,,,main-game/non-prod-game/game/days/book1_day103_non_canon.rpy,55,True,False,False,False,False,high
book1_block_day3_common_open,book1_block_day3_common_open,write,,,,main-game/non-prod-game/game/days/book1_day103_non_canon.rpy,69,True,False,False,False,False,high
book1_block_day3_ultimatum_beat,book1_block_day3_ultimatum_beat,write,,,,main-game/non-prod-game/game/days/book1_day103_non_canon.rpy,78,True,False,False,False,False,high
book1_block_day3_writing_cadence,book1_block_day3_writing_cadence,write,,,,main-game/non-prod-game/game/days/book1_day103_non_canon.rpy,92,True,False,False,False,False,high
book1_block_day3_stern_beat,book1_block_day3_stern_beat,write,,,,main-game/non-prod-game/game/days/book1_day103_non_canon.rpy,104,True,False,False,False,False,high
book1_block_day3_furnace_beat,book1_block_day3_furnace_beat,write,,,,main-game/non-prod-game/game/days/book1_day103_non_canon.rpy,112,True,False,False,False,False,high
book1_block_day4_default_core,book1_block_day4_default_core,write,,,,main-game/non-prod-game/game/days/book1_day104_non_canon.rpy,16,True,False,False,False,False,high
book1_block_day4_ghost_core,book1_block_day4_ghost_core,write,,,,main-game/non-prod-game/game/days/book1_day104_non_canon.rpy,28,True,False,False,False,False,high
book1_block_day4_predator_core,book1_block_day4_predator_core,write,,,,main-game/non-prod-game/game/days/book1_day104_non_canon.rpy,41,True,False,False,False,False,high
book1_block_day4_prey_core,book1_block_day4_prey_core,write,,,,main-game/non-prod-game/game/days/book1_day104_non_canon.rpy,54,True,False,False,False,False,high
book1_block_day4_common_open,book1_block_day4_common_open,write,,,,main-game/non-prod-game/game/days/book1_day104_non_canon.rpy,67,True,False,False,False,False,high
book1_block_day4_moral_frame,book1_block_day4_moral_frame,write,,,,main-game/non-prod-game/game/days/book1_day104_non_canon.rpy,76,True,False,False,False,False,high
book1_block_day4_missy_debt_or_repair,book1_block_day4_missy_debt_or_repair,write,,,,main-game/non-prod-game/game/days/book1_day104_non_canon.rpy,88,True,False,False,False,False,high
book1_block_day4_stern_pressure,book1_block_day4_stern_pressure,write,,,,main-game/non-prod-game/game/days/book1_day104_non_canon.rpy,100,True,False,False,False,False,high
book1_block_day4_writing_cadence,book1_block_day4_writing_cadence,write,,,,main-game/non-prod-game/game/days/book1_day104_non_canon.rpy,112,True,False,False,False,False,high
book1_block_day4_escape_and_evidence,book1_block_day4_escape_and_evidence,write,,,,main-game/non-prod-game/game/days/book1_day104_non_canon.rpy,124,True,False,False,False,False,high
book1_block_day5_default_core,book1_block_day5_default_core,write,,,,main-game/non-prod-game/game/days/book1_day105_non_canon.rpy,16,True,False,False,False,False,high
book1_block_day5_muse_core,book1_block_day5_muse_core,write,,,,main-game/non-prod-game/game/days/book1_day105_non_canon.rpy,28,True,False,False,False,False,high
book1_block_day5_witness_core,book1_block_day5_witness_core,write,,,,main-game/non-prod-game/game/days/book1_day105_non_canon.rpy,35,True,False,False,False,False,high
book1_block_day5_adversary_core,book1_block_day5_adversary_core,write,,,,main-game/non-prod-game/game/days/book1_day105_non_canon.rpy,49,True,False,False,False,False,high
book1_block_day5_protege_core,book1_block_day5_protege_core,write,,,,main-game/non-prod-game/game/days/book1_day105_non_canon.rpy,63,True,False,False,False,False,high
book1_block_day5_common_open,book1_block_day5_common_open,write,,,,main-game/non-prod-game/game/days/book1_day105_non_canon.rpy,77,True,False,False,False,False,high
book1_block_day5_missy_debt_or_repair,book1_block_day5_missy_debt_or_repair,write,,,,main-game/non-prod-game/game/days/book1_day105_non_canon.rpy,86,True,False,False,False,False,high
book1_block_day5_ultimatum_beat,book1_block_day5_ultimatum_beat,write,,,,main-game/non-prod-game/game/days/book1_day105_non_canon.rpy,98,True,False,False,False,False,high
book1_block_day5_stern_pressure,book1_block_day5_stern_pressure,write,,,,main-game/non-prod-game/game/days/book1_day105_non_canon.rpy,112,True,False,False,False,False,high
book1_block_day5_writing_cadence,book1_block_day5_writing_cadence,write,,,,main-game/non-prod-game/game/days/book1_day105_non_canon.rpy,124,True,False,False,False,False,high
book1_block_day5_closing_diagnosis,book1_block_day5_closing_diagnosis,write,,,,main-game/non-prod-game/game/days/book1_day105_non_canon.rpy,136,True,False,False,False,False,high
book1_write_chapter,book1_write_chapter,write,,,,main-game/non-prod-game/game/days/book1_non_canon.rpy,73,True,False,False,False,False,high
book1_nvl_write_line,book1_nvl_write_line,write,,,,main-game/non-prod-game/game/days/book1_non_canon.rpy,132,True,False,False,False,False,high
book1_set_page_image,book1_set_page_image,write,,,,main-game/non-prod-game/game/days/book1_non_canon.rpy,151,True,False,False,False,False,high
book1_debug_chapter_route,book1_debug_chapter_route,write,,,,main-game/non-prod-game/game/days/book1_non_canon.rpy,158,True,False,False,False,False,high
book1_block_unknown_chapter,book1_block_unknown_chapter,write,,,,main-game/non-prod-game/game/days/book1_non_canon.rpy,199,True,False,False,False,False,high
day100_main,day100_main,work,100,,,main-game/non-prod-game/game/days/day100_non_canon.rpy,31,True,False,False,False,False,high
day100_1_afternoon_boredom_setup,day100_1_afternoon_boredom_setup,work,100,,,main-game/non-prod-game/game/days/day100_non_canon.rpy,62,False,False,False,False,False,medium
day100_1_afternoon_boredom,day100_1_afternoon_boredom,work,100,,,main-game/non-prod-game/game/days/day100_non_canon.rpy,69,True,True,False,False,True,high
day100_2_evening_flashback,day100_2_evening_flashback,work,100,,,main-game/non-prod-game/game/days/day100_non_canon.rpy,112,True,False,False,False,False,high
day100_2_parlour_branch,day100_2_parlour_branch,work,100,,,main-game/non-prod-game/game/days/day100_non_canon.rpy,124,True,False,False,False,False,high
day100_2_desk_branch,day100_2_desk_branch,work,100,,,main-game/non-prod-game/game/days/day100_non_canon.rpy,145,True,False,False,False,False,high
day100_2_reconvergence,day100_2_reconvergence,work,100,,,main-game/non-prod-game/game/days/day100_non_canon.rpy,163,True,True,False,False,True,high
day100_3_night_daydream,day100_3_night_daydream,work,100,,,main-game/non-prod-game/game/days/day100_non_canon.rpy,272,True,True,False,False,False,high
day100_3_arrival,day100_3_arrival,work,100,,,main-game/non-prod-game/game/days/day100_non_canon.rpy,345,True,False,False,False,False,high
day101_main,day101_main,work,101,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,43,True,False,False,False,False,high
day101_1_cora_waiting,day101_1_cora_waiting,work,101,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,66,True,False,False,False,False,high
day101_1_morning_interview,day101_1_morning_interview,work,101,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,109,True,True,False,False,True,high
day101_1_vance_throws_toy,day101_1_vance_throws_toy,work,101,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,347,True,True,False,False,True,high
day101_1_vance_dressing_room,day101_1_vance_dressing_room,work,101,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,533,True,True,False,False,True,high
day101_1_vance_stairwell_encounter,day101_1_vance_stairwell_encounter,work,101,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,662,True,True,False,False,True,high
day101_2_missy_meets_cora,day101_2_missy_meets_cora,work,101,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,777,True,False,False,False,False,high
